STT,Nhiệm vụ,Tính năng chi tiết,Loại minh chứng,Đường dẫn cụ thể,Mô tả minh chứng,Phân loại
1,Nâng cấp lõi tìm kiếm Hybrid Search,Triển khai thuật toán BM25 và tích hợp RRF (Reciprocal Rank Fusion),Mã nguồn Python,backend/services/bm25.py & backend/services/retriever.py,Thuật toán BM25 tiếng Việt độc lập phối hợp với Vector Search bằng RRF,Bản 1 (Lõi Kỹ thuật & AI)
2,Xây dựng bộ tái xếp hạng (Reranker),Tái xếp hạng Top 10 xuống Top 3 bằng Cosine Similarity cục bộ,Mã nguồn Python,backend/services/reranker.py,Lấy vector từ ChromaDB để đối chiếu độ tương đồng trực tiếp mà không cần sinh lại,Bản 1 (Lõi Kỹ thuật & AI)
3,Bộ lọc Metadata (Metadata Filtering),Giới hạn phạm vi tìm kiếm theo tài liệu được chọn,Mã nguồn & DB Query,backend/services/vector_store.py (search_chunks),Lọc ChromaDB sử dụng điều kiện query 'document_id',Bản 1 (Lõi Kỹ thuật & AI)
4,Hội thoại nối tiếp (Chat Memory),Viết lại câu hỏi truy vấn dựa trên lịch sử chat,Mã nguồn Python,backend/services/rag_pipeline.py (reformulate_question),Sử dụng Gemini viết lại câu hỏi ngắn thành câu hỏi độc lập đầy đủ ngữ cảnh,Bản 1 (Lõi Kỹ thuật & AI)
5,API Chat & Lưu lịch sử,Truy xuất lịch sử database và xử lý API Chat mới,Mã nguồn API Router,backend/routers/chat.py,Lấy 5 lượt chat cũ gửi làm bộ nhớ hội thoại và tiếp nhận bộ lọc tài liệu,Bản 1 (Lõi Kỹ thuật & AI)
6,Chẩn đoán học tập (Learning Analytics),Tính điểm yếu học tập tổng hợp có trọng số (weak_score),Mã nguồn & Thuật toán,backend/services/weak_topic_detector.py,Tính weak_score = 0.4*Hỏi + 0.4*Làm sai Quiz + 0.2*Cramming,Bản 2 (Cá nhân hóa & Dashboard)
7,Hành động đề xuất cá nhân hóa,Sinh gợi ý ôn tập chuyên sâu theo chủ đề của môn học,Mã nguồn Python,backend/services/recommendation.py,"Hành động đề xuất cụ thể (đọc trang tài liệu nào, làm bài thực hành gì)",Bản 2 (Cá nhân hóa & Dashboard)
8,Prompt thích ứng theo trình độ,"Tạo prompt cho 3 cấp độ học lực (beginner, intermediate, advanced)",Mã nguồn Prompt,backend/services/prompt_template.py,Hướng dẫn hệ thống trả lời chi tiết tùy theo học lực,Bản 2 (Cá nhân hóa & Dashboard)
9,Quiz thích ứng theo học lực,Tự động chọn độ khó của Quiz dựa trên điểm số lịch sử,Mã nguồn API Router,backend/routers/quiz.py (generate),Tự nâng hoặc giảm độ khó quiz để phù hợp năng lực gần nhất,Bản 2 (Cá nhân hóa & Dashboard)
10,Giao diện trực quan hóa & Báo cáo,Biểu đồ thống kê và bảng phân tích chủ đề yếu chi tiết,Giao diện UI (Streamlit),app/streamlit_app.py,"Hiển thị Bar chart câu hỏi, Line chart điểm số, bộ lọc tài liệu, expanders giải thích lý do yếu",Bản 2 (Cá nhân hóa & Dashboard)
